species 	date collected	plot	sex	weight_in_grams	scale_calibration_status															
DM	 2013-07-16	2	F	 - 	calibrated															
DM	 2013-07-16	7	M	33	calibrated															
DM	 2013-07-16	3	M	 - 	calibrated															
DM	 2013-07-16	1	M	 - 	calibrated															
DM	 2013-07-18	3	M	40	calibrated															
DM	 2013-07-18	7	M	48	calibrated															
DM	 2013-07-18	4	F	29	calibrated															
DM	 2013-07-18	6	F	37	calibrated															
DO	 2013-08-19	8	F	52	calibrated															
DO	 2013-10-17	3	F	33	calibrated															
DO	 2013-10-17	3	F	50	calibrated															
DO	 2013-12-10	9	F	40	calibrated															
DO	 2013-12-10	1	M	45	calibrated															
DO	 2013-12-11	8	F	41	calibrated															
DS	 2013-11-12	9	F	117	calibrated															
DS	 2013-11-13	11	F	126	calibrated															
DS	 2013-11-13	17	M	132	not calibrated															
DS	 2013-11-13	14	F	113	not calibrated															
DS	 2013-11-13	11	F	122	calibrated															
DS	 2013-11-13	4	F	107	calibrated															
DS	 2013-11-13	4	F	115	calibrated															
DM	 2014-01-09	1	M	40	calibrated															
DM	 2014-01-09	1	F	36	calibrated															
DM	 2014-03-13	1	F	51	calibrated															
DM	 2014-03-14	1	F	44	calibrated															
DS	 2014-03-15	1	F	146	calibrated															
NA	 2014-01-08	2	 - 	 - 	calibrated															
DM	 2014-01-08	2	M	44	calibrated															
PF	 2014-01-08	2	F	7	calibrated															
DM	 2014-01-08	2	M	45	calibrated															
OT	 2014-01-08	2	 - 	 - 	calibrated															
DS	 2014-01-08	2	M	157	not calibrated															
OX	 2014-01-08	2	 - 	 - 	calibrated															
NA	 2014-02-18	2	M	218	not calibrated															
PF	 2014-02-19	2	F	7	calibrated															
DM	 2014-02-20	2	M	52	calibrated															
PF	 2014-03-11	3	M	8	calibrated															
NA	 2014-04-08	3	F	 - 	calibrated															
 - 	 2014-05-06	3	 - 	 - 	calibrated															
NA	 2014-05-18	3	F	182	calibrated															
OT	 2014-06-09	3	F	29	calibrated															
NA	 2014-07-08	3	F	115	calibrated															
NA	 2014-07-09	3	M	190	calibrated															
DM	 1978-01-08	4	F	37	calibrated															
DM	 1978-01-08	4	M	 - 	calibrated															
DM	 1978-01-08	4	F	48	calibrated															
DO	 1978-01-08	4	M	52	calibrated															
OL	 1978-01-08	4	M	35	calibrated															